system:index,cell_id,dewpoint,precip,temp_max,temp_mean,wind_speed,.geo
299_0,CA_000299,282.81063079833984,7.653234849414048E-6,294.01719665527344,288.7311655680339,6.443109794876051,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,CA_000300,282.97265879313153,7.056593740983885E-5,292.85313415527344,288.4130503336589,5.598460546591636,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,CA_000301,282.97265879313153,7.056593740983885E-5,292.85313415527344,288.4130503336589,5.598460546591636,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,CA_000302,283.34367116292316,3.694891775651854E-5,292.40782165527344,288.2192026774089,3.974625278221535,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,CA_000303,283.00439707438153,6.874799574418944E-5,291.15391540527344,287.8560028076172,5.383815324594361,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,CA_000404,283.26481374104816,1.1289118180712876E-5,295.37657165527344,289.5821584065755,6.276191197517665,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,CA_000405,283.14526621500653,6.997583756884751E-6,296.02696228027344,289.6242319742839,4.682704008823615,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,CA_000406,283.35612233479816,1.5550850282153306E-5,294.23789978027344,288.8817189534505,3.613690572898905,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,CA_000407,283.35612233479816,1.5550850282153306E-5,294.23789978027344,288.8817189534505,3.613690572898905,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,CA_000408,283.47933197021484,2.499818647905272E-5,293.14024353027344,288.5283660888672,3.41665686819864,"{""type"":""MultiPoint"",""coordinates"":[]}"
421_0,CA_000421,280.72371673583984,6.967781434497056E-6,296.32383728027344,292.2702280680339,7.683649386897145,"{""type"":""MultiPoint"",""coordinates"":[]}"
422_0,CA_000422,280.72371673583984,6.967781434497056E-6,296.32383728027344,292.2702280680339,7.683649386897145,"{""type"":""MultiPoint"",""coordinates"":[]}"
510_0,CA_000510,283.63550059000653,6.997583756884751E-6,298.08360290527344,291.2191212972005,4.490938333486356,"{""type"":""MultiPoint"",""coordinates"":[]}"
511_0,CA_000511,283.39315032958984,6.967781434497056E-6,298.14219665527344,290.8828582763672,3.6298848768038368,"{""type"":""MultiPoint"",""coordinates"":[]}"
512_0,CA_000512,283.59554290771484,6.967781434497056E-6,295.84727478027344,289.6492970784505,2.8791441212928497,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,CA_000513,283.59554290771484,6.967781434497056E-6,295.84727478027344,289.6492970784505,2.8791441212928497,"{""type"":""MultiPoint"",""coordinates"":[]}"
514_0,CA_000514,283.73218027750653,6.967781434497056E-6,294.73204040527344,289.2247365315755,2.436091516513868,"{""type"":""MultiPoint"",""coordinates"":[]}"
515_0,CA_000515,283.56925710042316,7.742641816577134E-6,293.36680603027344,288.8271128336589,3.126042845330163,"{""type"":""MultiPoint"",""coordinates"":[]}"
516_0,CA_000516,283.40088144938153,1.2928245912036118E-5,292.28868103027344,288.5070444742839,3.8116499712451986,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,CA_000517,283.56258392333984,1.5103815446337876E-5,292.61680603027344,288.6710255940755,3.6191236611201405,"{""type"":""MultiPoint"",""coordinates"":[]}"
