system:index,cell_id,dewpoint,precip,temp_max,temp_mean,wind_speed,.geo
299_0,CA_000299,287.78980954488117,3.9090588688850403E-4,296.32176208496094,291.59709040323895,3.6346546154941226,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,CA_000300,287.82439613342285,0.002045128494501114,295.30418395996094,290.87793350219727,2.9974316457757473,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,CA_000301,287.82439613342285,0.002045128494501114,295.30418395996094,290.87793350219727,2.9974316457757473,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,CA_000302,287.92823727925617,0.0011151358485221863,295.83348083496094,290.72314834594727,2.3845412345863823,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,CA_000303,287.27874183654785,0.0024461615830659866,293.89207458496094,289.6001828511556,3.045157337764677,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,CA_000404,287.81642087300617,2.6153214275836945E-4,296.21629333496094,292.1614621480306,3.5699613308779528,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,CA_000405,287.94076983133954,1.2830086052417755E-4,298.08738708496094,292.84977595011395,2.646296284203016,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,CA_000406,288.16074053446454,4.3338164687156677E-4,297.42918395996094,292.01676813761395,2.1694763353616797,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,CA_000407,288.16074053446454,4.3338164687156677E-4,297.42918395996094,292.01676813761395,2.1694763353616797,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,CA_000408,288.03834470113117,7.665455341339111E-4,296.80613708496094,291.3496945699056,2.100173217748492,"{""type"":""MultiPoint"",""coordinates"":[]}"
421_0,CA_000421,287.87721188863117,0.00314999558031559,294.29246520996094,290.86442438761395,2.1427129662296287,"{""type"":""MultiPoint"",""coordinates"":[]}"
422_0,CA_000422,287.87721188863117,0.00314999558031559,294.29246520996094,290.86442438761395,2.1427129662296287,"{""type"":""MultiPoint"",""coordinates"":[]}"
510_0,CA_000510,287.78460121154785,1.1833943426609039E-4,298.24363708496094,293.8301633199056,2.4423460086946394,"{""type"":""MultiPoint"",""coordinates"":[]}"
511_0,CA_000511,287.48194821675617,1.0170973837375641E-4,299.95848083496094,294.42212295532227,1.921196293961617,"{""type"":""MultiPoint"",""coordinates"":[]}"
512_0,CA_000512,288.35930824279785,1.966562122106552E-4,299.59910583496094,293.4944699605306,1.7084739880088744,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,CA_000513,288.35930824279785,1.966562122106552E-4,299.59910583496094,293.4944699605306,1.7084739880088744,"{""type"":""MultiPoint"",""coordinates"":[]}"
514_0,CA_000514,288.22307777404785,2.5514885783195496E-4,298.83152770996094,292.71989313761395,1.5614013511293352,"{""type"":""MultiPoint"",""coordinates"":[]}"
515_0,CA_000515,287.56967608133954,0.0010322760790586472,296.75926208496094,291.57365290323895,1.983563059672701,"{""type"":""MultiPoint"",""coordinates"":[]}"
516_0,CA_000516,286.95834795633954,0.001753663644194603,295.03465270996094,290.51831436157227,2.4132217273461345,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,CA_000517,286.98097165425617,0.0017692558467388153,294.71434020996094,290.29752985636395,2.371575443006244,"{""type"":""MultiPoint"",""coordinates"":[]}"
518_0,CA_000518,286.98097165425617,0.0017692558467388153,294.71434020996094,290.29752985636395,2.371575443006244,"{""type"":""MultiPoint"",""coordinates"":[]}"
520_0,CA_000520,286.70606931050617,0.002035614103078842,294.23191833496094,290.61344782511395,2.3744559391653595,"{""type"":""MultiPoint"",""coordinates"":[]}"
526_0,CA_000526,287.14698727925617,0.002953141927719116,294.47215270996094,290.91325251261395,1.9583806788994942,"{""type"":""MultiPoint"",""coordinates"":[]}"
527_0,CA_000527,287.90300941467285,0.002146320417523384,296.17918395996094,292.05127334594727,1.690891259588934,"{""type"":""MultiPoint"",""coordinates"":[]}"
528_0,CA_000528,287.90300941467285,0.002146320417523384,296.17918395996094,292.05127334594727,1.690891259588934,"{""type"":""MultiPoint"",""coordinates"":[]}"
529_0,CA_000529,288.75400225321454,7.415600121021271E-4,298.20066833496094,293.41960016886395,1.3292036840491155,"{""type"":""MultiPoint"",""coordinates"":[]}"
616_0,CA_000616,287.78460121154785,1.1833943426609039E-4,298.24363708496094,293.8301633199056,2.4423460086946394,"{""type"":""MultiPoint"",""coordinates"":[]}"
617_0,CA_000617,287.48194821675617,1.0170973837375641E-4,299.95848083496094,294.42212295532227,1.921196293961617,"{""type"":""MultiPoint"",""coordinates"":[]}"
618_0,CA_000618,288.35930824279785,1.966562122106552E-4,299.59910583496094,293.4944699605306,1.7084739880088744,"{""type"":""MultiPoint"",""coordinates"":[]}"
619_0,CA_000619,288.35930824279785,1.966562122106552E-4,299.59910583496094,293.4944699605306,1.7084739880088744,"{""type"":""MultiPoint"",""coordinates"":[]}"
620_0,CA_000620,288.22307777404785,2.5514885783195496E-4,298.83152770996094,292.71989313761395,1.5614013511293352,"{""type"":""MultiPoint"",""coordinates"":[]}"
621_0,CA_000621,287.56967608133954,0.0010322760790586472,296.75926208496094,291.57365290323895,1.983563059672701,"{""type"":""MultiPoint"",""coordinates"":[]}"
622_0,CA_000622,286.95834795633954,0.001753663644194603,295.03465270996094,290.51831436157227,2.4132217273461345,"{""type"":""MultiPoint"",""coordinates"":[]}"
623_0,CA_000623,286.98097165425617,0.0017692558467388153,294.71434020996094,290.29752985636395,2.371575443006244,"{""type"":""MultiPoint"",""coordinates"":[]}"
624_0,CA_000624,286.98097165425617,0.0017692558467388153,294.71434020996094,290.29752985636395,2.371575443006244,"{""type"":""MultiPoint"",""coordinates"":[]}"
626_0,CA_000626,286.70606931050617,0.002035614103078842,294.23191833496094,290.61344782511395,2.3744559391653595,"{""type"":""MultiPoint"",""coordinates"":[]}"
632_0,CA_000632,287.14698727925617,0.002953141927719116,294.47215270996094,290.91325251261395,1.9583806788994942,"{""type"":""MultiPoint"",""coordinates"":[]}"
633_0,CA_000633,287.90300941467285,0.002146320417523384,296.17918395996094,292.05127334594727,1.690891259588934,"{""type"":""MultiPoint"",""coordinates"":[]}"
634_0,CA_000634,287.90300941467285,0.002146320417523384,296.17918395996094,292.05127334594727,1.690891259588934,"{""type"":""MultiPoint"",""coordinates"":[]}"
635_0,CA_000635,288.75400225321454,7.415600121021271E-4,298.20066833496094,293.41960016886395,1.3292036840491155,"{""type"":""MultiPoint"",""coordinates"":[]}"
719_0,CA_000719,287.79233233133954,3.0394643545150757E-4,298.6913604736328,294.7769406636556,2.533929644250877,"{""type"":""MultiPoint"",""coordinates"":[]}"
720_0,CA_000720,287.69312985738117,1.4728493988513947E-4,299.4511260986328,295.04606501261395,2.24865202532208,"{""type"":""MultiPoint"",""coordinates"":[]}"
721_0,CA_000721,287.69312985738117,1.4728493988513947E-4,299.4511260986328,295.04606501261395,2.24865202532208,"{""type"":""MultiPoint"",""coordinates"":[]}"
722_0,CA_000722,287.53753089904785,4.728883504867554E-5,300.71043395996094,295.71582412719727,1.5950622317711631,"{""type"":""MultiPoint"",""coordinates"":[]}"
723_0,CA_000723,287.10149574279785,6.226450204849243E-5,302.39988708496094,296.3831418355306,1.3098312516896784,"{""type"":""MultiPoint"",""coordinates"":[]}"
724_0,CA_000724,288.68165524800617,1.6658753156661987E-4,301.89988708496094,295.19596735636395,1.3085564318064054,"{""type"":""MultiPoint"",""coordinates"":[]}"
725_0,CA_000725,288.68165524800617,1.6658753156661987E-4,301.89988708496094,295.19596735636395,1.3085564318064054,"{""type"":""MultiPoint"",""coordinates"":[]}"
726_0,CA_000726,288.42205238342285,2.446956932544708E-4,300.71434020996094,294.21891657511395,1.166311640313693,"{""type"":""MultiPoint"",""coordinates"":[]}"
727_0,CA_000727,287.83253415425617,8.94494354724884E-4,298.55613708496094,293.0625851949056,1.515764018642795,"{""type"":""MultiPoint"",""coordinates"":[]}"
728_0,CA_000728,287.59441566467285,0.0012843906879425049,297.25730895996094,292.14543024698895,1.7961764932039976,"{""type"":""MultiPoint"",""coordinates"":[]}"
729_0,CA_000729,287.64780108133954,0.0012500174343585968,296.39793395996094,291.57349014282227,1.8299927266851483,"{""type"":""MultiPoint"",""coordinates"":[]}"
730_0,CA_000730,287.64780108133954,0.0012500174343585968,296.39793395996094,291.57349014282227,1.8299927266851483,"{""type"":""MultiPoint"",""coordinates"":[]}"
731_0,CA_000731,286.95452308654785,0.001224968582391739,296.33738708496094,291.85612360636395,1.8078539641122686,"{""type"":""MultiPoint"",""coordinates"":[]}"
732_0,CA_000732,286.69793128967285,0.0013117790222167969,296.16941833496094,292.06421279907227,1.782685386227649,"{""type"":""MultiPoint"",""coordinates"":[]}"
733_0,CA_000733,287.04575030008954,8.577648550271988E-4,297.91551208496094,293.04590225219727,1.3912612877244661,"{""type"":""MultiPoint"",""coordinates"":[]}"
734_0,CA_000734,286.95338376363117,0.0011481158435344696,297.36082458496094,292.42155329386395,1.6676006369299357,"{""type"":""MultiPoint"",""coordinates"":[]}"
735_0,CA_000735,286.95338376363117,0.0011481158435344696,297.36082458496094,292.42155329386395,1.6676006369299357,"{""type"":""MultiPoint"",""coordinates"":[]}"
736_0,CA_000736,287.01881345113117,0.001083308830857277,297.42332458496094,292.50041071573895,1.5604718156717439,"{""type"":""MultiPoint"",""coordinates"":[]}"
737_0,CA_000737,286.99049313863117,0.0011636000126600266,296.56980895996094,292.10026423136395,1.4890784757202635,"{""type"":""MultiPoint"",""coordinates"":[]}"
738_0,CA_000738,287.07813962300617,0.0017291754484176636,296.98622131347656,292.39640680948895,1.3820866226768291,"{""type"":""MultiPoint"",""coordinates"":[]}"
739_0,CA_000739,287.79623858133954,9.970534592866898E-4,298.77333068847656,293.5711301167806,1.1316795271687787,"{""type"":""MultiPoint"",""coordinates"":[]}"
740_0,CA_000740,287.79623858133954,9.970534592866898E-4,298.77333068847656,293.5711301167806,1.1316795271687787,"{""type"":""MultiPoint"",""coordinates"":[]}"
741_0,CA_000741,288.20908037821454,1.1441484093666077E-4,300.63465881347656,294.79386774698895,0.8490389163157338,"{""type"":""MultiPoint"",""coordinates"":[]}"
823_0,CA_000823,289.59107907613117,3.8209185004234314E-4,299.2030792236328,295.43009821573895,1.721819800170782,"{""type"":""MultiPoint"",""coordinates"":[]}"
824_0,CA_000824,288.56088701883954,4.260614514350891E-4,299.1132354736328,295.30558649698895,2.0187198910927577,"{""type"":""MultiPoint"",""coordinates"":[]}"
825_0,CA_000825,287.82781410217285,2.794526517391205E-4,300.5312042236328,296.05664443969727,1.7384067263124814,"{""type"":""MultiPoint"",""coordinates"":[]}"
826_0,CA_000826,287.83237139383954,4.700571298599243E-5,302.1757354736328,296.9839719136556,1.1376084574245418,"{""type"":""MultiPoint"",""coordinates"":[]}"
827_0,CA_000827,287.83237139383954,4.700571298599243E-5,302.1757354736328,296.9839719136556,1.1376084574245418,"{""type"":""MultiPoint"",""coordinates"":[]}"
828_0,CA_000828,287.45297686258954,4.13060188293457E-5,303.50323486328125,297.70410537719727,0.9367944645185017,"{""type"":""MultiPoint"",""coordinates"":[]}"
829_0,CA_000829,287.02678871154785,4.121661186218262E-5,305.07957458496094,298.49528376261395,0.7629233080804902,"{""type"":""MultiPoint"",""coordinates"":[]}"
830_0,CA_000830,288.51742998758954,1.7307698726654053E-4,303.84910583496094,296.76090876261395,0.815400791744466,"{""type"":""MultiPoint"",""coordinates"":[]}"
831_0,CA_000831,288.51742998758954,1.7307698726654053E-4,303.84910583496094,296.76090876261395,0.815400791744466,"{""type"":""MultiPoint"",""coordinates"":[]}"
832_0,CA_000832,288.43425941467285,2.584196627140045E-4,302.12254333496094,295.33341852823895,0.7819132110207345,"{""type"":""MultiPoint"",""coordinates"":[]}"
833_0,CA_000833,287.88795407613117,6.827618926763535E-4,300.07176208496094,294.21378962198895,1.0214894583518483,"{""type"":""MultiPoint"",""coordinates"":[]}"
834_0,CA_000834,288.22600746154785,5.786065012216568E-4,299.13426208496094,293.57519912719727,1.0639786552045427,"{""type"":""MultiPoint"",""coordinates"":[]}"
835_0,CA_000835,288.36370277404785,5.218759179115295E-4,298.47996520996094,293.16447321573895,1.1028343896031536,"{""type"":""MultiPoint"",""coordinates"":[]}"
836_0,CA_000836,288.36370277404785,5.218759179115295E-4,298.47996520996094,293.16447321573895,1.1028343896031536,"{""type"":""MultiPoint"",""coordinates"":[]}"
837_0,CA_000837,287.61524899800617,4.658084362745285E-4,298.42723083496094,293.35376358032227,1.0756399880489023,"{""type"":""MultiPoint"",""coordinates"":[]}"
838_0,CA_000838,286.83123207092285,5.074292421340942E-4,298.77098083496094,293.78564834594727,1.0675195582708028,"{""type"":""MultiPoint"",""coordinates"":[]}"
839_0,CA_000839,287.00831540425617,4.617534577846527E-4,299.50535583496094,294.05460993448895,1.026301856967019,"{""type"":""MultiPoint"",""coordinates"":[]}"
840_0,CA_000840,286.97763506571454,4.0686875581741333E-4,299.65184020996094,294.07349014282227,1.041921800001848,"{""type"":""MultiPoint"",""coordinates"":[]}"
841_0,CA_000841,286.97763506571454,4.0686875581741333E-4,299.65184020996094,294.07349014282227,1.041921800001848,"{""type"":""MultiPoint"",""coordinates"":[]}"
842_0,CA_000842,286.79566891988117,4.124194383621216E-4,299.4218292236328,293.83545303344727,0.9927087108038394,"{""type"":""MultiPoint"",""coordinates"":[]}"
843_0,CA_000843,286.85450681050617,4.3660029768943787E-4,299.4218292236328,293.67057673136395,0.8887297090056376,"{""type"":""MultiPoint"",""coordinates"":[]}"
844_0,CA_000844,286.79965655008954,5.12758269906044E-4,299.70497131347656,293.72672907511395,0.8097596145015187,"{""type"":""MultiPoint"",""coordinates"":[]}"
845_0,CA_000845,287.51067543029785,1.7506442964076996E-4,301.45497131347656,294.9661496480306,0.6335364294841184,"{""type"":""MultiPoint"",""coordinates"":[]}"
846_0,CA_000846,287.51067543029785,1.7506442964076996E-4,301.45497131347656,294.9661496480306,0.6335364294841184,"{""type"":""MultiPoint"",""coordinates"":[]}"
847_0,CA_000847,287.22372881571454,8.082762360572815E-5,302.81044006347656,295.8055051167806,0.5351747694808562,"{""type"":""MultiPoint"",""coordinates"":[]}"
923_0,CA_000923,289.97600746154785,8.201971650123596E-5,298.79051208496094,293.64526748657227,2.556481736417487,"{""type"":""MultiPoint"",""coordinates"":[]}"
924_0,CA_000924,289.97600746154785,8.201971650123596E-5,298.79051208496094,293.64526748657227,2.556481736417487,"{""type"":""MultiPoint"",""coordinates"":[]}"
925_0,CA_000925,290.02564938863117,1.5458837151527405E-4,298.00730895996094,293.5161984761556,2.7651077713243617,"{""type"":""MultiPoint"",""coordinates"":[]}"
927_0,CA_000927,290.74708493550617,1.8242746591567993E-4,299.55418395996094,295.5035031636556,1.3203658362684174,"{""type"":""MultiPoint"",""coordinates"":[]}"
928_0,CA_000928,290.74708493550617,1.8242746591567993E-4,299.55418395996094,295.5035031636556,1.3203658362684174,"{""type"":""MultiPoint"",""coordinates"":[]}"
929_0,CA_000929,289.83847490946454,3.1225942075252533E-4,299.6034698486328,295.6692746480306,1.4151593738980546,"{""type"":""MultiPoint"",""coordinates"":[]}"
930_0,CA_000930,288.88054847717285,1.91371887922287E-4,301.0722198486328,296.36084365844727,1.0882698495186562,"{""type"":""MultiPoint"",""coordinates"":[]}"
931_0,CA_000931,288.01938311258954,9.526871144771576E-5,302.6815948486328,297.2408078511556,0.8186767038406083,"{""type"":""MultiPoint"",""coordinates"":[]}"
932_0,CA_000932,287.66415850321454,8.716434240341187E-5,303.5761260986328,297.8777707417806,0.7641771532253598,"{""type"":""MultiPoint"",""coordinates"":[]}"
933_0,CA_000933,287.66415850321454,8.716434240341187E-5,303.5761260986328,297.8777707417806,0.7641771532253598,"{""type"":""MultiPoint"",""coordinates"":[]}"
934_0,CA_000934,287.50571123758954,7.656216621398926E-5,305.35479736328125,298.97192764282227,0.5220853830844466,"{""type"":""MultiPoint"",""coordinates"":[]}"
935_0,CA_000935,287.10776201883954,7.730722427368164E-5,306.86651611328125,299.71484756469727,0.3537946340489787,"{""type"":""MultiPoint"",""coordinates"":[]}"
936_0,CA_000936,287.85906410217285,2.0791590213775635E-4,304.40574645996094,297.3992551167806,0.3999842348836874,"{""type"":""MultiPoint"",""coordinates"":[]}"
937_0,CA_000937,287.85906410217285,2.0791590213775635E-4,304.40574645996094,297.3992551167806,0.3999842348836874,"{""type"":""MultiPoint"",""coordinates"":[]}"
938_0,CA_000938,287.71884600321454,2.486109733581543E-4,302.69871520996094,295.94067764282227,0.4629124172390361,"{""type"":""MultiPoint"",""coordinates"":[]}"
939_0,CA_000939,287.44280433654785,2.018958330154419E-4,301.54832458496094,295.21802139282227,0.4373519881487798,"{""type"":""MultiPoint"",""coordinates"":[]}"
