system:index,cell_id,dewpoint,precip,temp_max,temp_mean,wind_speed,.geo
299_0,CA_000299,287.5900815327962,2.0816922187805176E-5,299.0708465576172,294.6596024831136,1.562993882625727,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,CA_000300,288.2238705952962,3.437697887420654E-5,297.96632385253906,293.7330888112386,1.0801964644980757,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,CA_000301,288.2238705952962,3.437697887420654E-5,297.96632385253906,293.7330888112386,1.0801964644980757,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,CA_000302,290.0165138244629,1.1995434761047363E-5,299.3345184326172,295.0494136810303,0.6831997442914997,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,CA_000303,288.8459409077962,4.419684410095215E-5,297.0337371826172,293.56007448832196,0.9423347815521393,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,CA_000404,287.5517514546712,2.205371856689453E-5,299.34327697753906,295.0453446706136,1.8115034091535696,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,CA_000405,287.4101498921712,1.5422701835632324E-5,301.29249572753906,295.76417605082196,1.22582318796027,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,CA_000406,289.0489031473796,6.48200511932373E-5,300.89405822753906,295.72511355082196,0.73306357203403,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,CA_000407,289.0489031473796,6.48200511932373E-5,300.89405822753906,295.72511355082196,0.73306357203403,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,CA_000408,289.9641863505046,1.3299286365509033E-4,300.2798309326172,295.71290651957196,0.5634266905326533,"{""type"":""MultiPoint"",""coordinates"":[]}"
421_0,CA_000421,287.2446225484212,1.7136335372924805E-6,297.1938934326172,294.9611161549886,0.5909037245889878,"{""type"":""MultiPoint"",""coordinates"":[]}"
422_0,CA_000422,287.2446225484212,1.7136335372924805E-6,297.1938934326172,294.9611161549886,0.5909037245889878,"{""type"":""MultiPoint"",""coordinates"":[]}"
510_0,CA_000510,286.5895118713379,9.986758232116699E-5,301.74952697753906,296.1197261810303,1.1451929208800833,"{""type"":""MultiPoint"",""coordinates"":[]}"
511_0,CA_000511,286.6389910380046,7.990002632141113E-5,303.27101135253906,296.7787431081136,0.820982726515235,"{""type"":""MultiPoint"",""coordinates"":[]}"
512_0,CA_000512,288.5730730692546,4.5752525329589844E-4,303.08546447753906,296.96876589457196,0.5533541938634705,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,CA_000513,288.5730730692546,4.5752525329589844E-4,303.08546447753906,296.96876589457196,0.5533541938634705,"{""type"":""MultiPoint"",""coordinates"":[]}"
514_0,CA_000514,289.5552508036296,4.5290589332580566E-4,302.47999572753906,296.9624996185303,0.33751352970527343,"{""type"":""MultiPoint"",""coordinates"":[]}"
515_0,CA_000515,288.3875261942546,4.6102702617645264E-4,300.39601135253906,295.8973954518636,0.512179976647963,"{""type"":""MultiPoint"",""coordinates"":[]}"
516_0,CA_000516,287.3721453348796,4.0005147457122803E-4,298.69874572753906,295.0101070404053,0.7210942328498228,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,CA_000517,287.4086850484212,1.4485418796539307E-4,298.24366760253906,295.0823726654053,0.7043537189859072,"{""type"":""MultiPoint"",""coordinates"":[]}"
518_0,CA_000518,287.4086850484212,1.4485418796539307E-4,298.24366760253906,295.0823726654053,0.7043537189859072,"{""type"":""MultiPoint"",""coordinates"":[]}"
520_0,CA_000520,285.8749122619629,1.0475516319274902E-5,297.85108947753906,294.8609371185303,0.4473930613698891,"{""type"":""MultiPoint"",""coordinates"":[]}"
526_0,CA_000526,286.0022722880046,1.952052116394043E-6,297.4438934326172,294.8130855560303,0.5329315044008726,"{""type"":""MultiPoint"",""coordinates"":[]}"
527_0,CA_000527,287.3595314025879,1.1473894119262695E-6,298.8696746826172,295.65309206644696,0.5108149871202243,"{""type"":""MultiPoint"",""coordinates"":[]}"
528_0,CA_000528,287.3595314025879,1.1473894119262695E-6,298.8696746826172,295.65309206644696,0.5108149871202243,"{""type"":""MultiPoint"",""coordinates"":[]}"
529_0,CA_000529,288.9656511942546,7.450580596923828E-7,300.4927215576172,296.6276200612386,0.4077523646445174,"{""type"":""MultiPoint"",""coordinates"":[]}"
616_0,CA_000616,286.5895118713379,9.986758232116699E-5,301.74952697753906,296.1197261810303,1.1451929208800833,"{""type"":""MultiPoint"",""coordinates"":[]}"
617_0,CA_000617,286.6389910380046,7.990002632141113E-5,303.27101135253906,296.7787431081136,0.820982726515235,"{""type"":""MultiPoint"",""coordinates"":[]}"
618_0,CA_000618,288.5730730692546,4.5752525329589844E-4,303.08546447753906,296.96876589457196,0.5533541938634705,"{""type"":""MultiPoint"",""coordinates"":[]}"
619_0,CA_000619,288.5730730692546,4.5752525329589844E-4,303.08546447753906,296.96876589457196,0.5533541938634705,"{""type"":""MultiPoint"",""coordinates"":[]}"
620_0,CA_000620,289.5552508036296,4.5290589332580566E-4,302.47999572753906,296.9624996185303,0.33751352970527343,"{""type"":""MultiPoint"",""coordinates"":[]}"
621_0,CA_000621,288.3875261942546,4.6102702617645264E-4,300.39601135253906,295.8973954518636,0.512179976647963,"{""type"":""MultiPoint"",""coordinates"":[]}"
