system:index,cell_id,ndvi,.geo
828_0,CA_000828,0.8616,"{""type"":""MultiPoint"",""coordinates"":[]}"
829_0,CA_000829,0.8419000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
830_0,CA_000830,0.8684000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
831_0,CA_000831,0.5663,"{""type"":""MultiPoint"",""coordinates"":[]}"
832_0,CA_000832,0.8134,"{""type"":""MultiPoint"",""coordinates"":[]}"
833_0,CA_000833,0.8381000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
834_0,CA_000834,0.8454,"{""type"":""MultiPoint"",""coordinates"":[]}"
835_0,CA_000835,0.7192000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
836_0,CA_000836,0.881,"{""type"":""MultiPoint"",""coordinates"":[]}"
837_0,CA_000837,0.8416,"{""type"":""MultiPoint"",""coordinates"":[]}"
838_0,CA_000838,0.6617000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
839_0,CA_000839,0.8368,"{""type"":""MultiPoint"",""coordinates"":[]}"
840_0,CA_000840,0.8416,"{""type"":""MultiPoint"",""coordinates"":[]}"
841_0,CA_000841,0.8691000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
842_0,CA_000842,0.7103,"{""type"":""MultiPoint"",""coordinates"":[]}"
843_0,CA_000843,0.8550000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
844_0,CA_000844,0.8775000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
845_0,CA_000845,0.7184,"{""type"":""MultiPoint"",""coordinates"":[]}"
846_0,CA_000846,0.7263000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
847_0,CA_000847,0.6319,"{""type"":""MultiPoint"",""coordinates"":[]}"
923_0,CA_000923,0.7375,"{""type"":""MultiPoint"",""coordinates"":[]}"
924_0,CA_000924,0.8096,"{""type"":""MultiPoint"",""coordinates"":[]}"
925_0,CA_000925,0.5629000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
928_0,CA_000928,0.8663000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
929_0,CA_000929,0.8916000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
930_0,CA_000930,0.9019,"{""type"":""MultiPoint"",""coordinates"":[]}"
931_0,CA_000931,0.8196,"{""type"":""MultiPoint"",""coordinates"":[]}"
932_0,CA_000932,0.5953,"{""type"":""MultiPoint"",""coordinates"":[]}"
933_0,CA_000933,0.6979000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
934_0,CA_000934,0.46140000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
935_0,CA_000935,0.7006,"{""type"":""MultiPoint"",""coordinates"":[]}"
936_0,CA_000936,0.7231000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
937_0,CA_000937,0.7334,"{""type"":""MultiPoint"",""coordinates"":[]}"
938_0,CA_000938,0.5364,"{""type"":""MultiPoint"",""coordinates"":[]}"
939_0,CA_000939,0.7961,"{""type"":""MultiPoint"",""coordinates"":[]}"
940_0,CA_000940,0.8373,"{""type"":""MultiPoint"",""coordinates"":[]}"
941_0,CA_000941,0.7473000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
942_0,CA_000942,0.8128000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
943_0,CA_000943,0.8395,"{""type"":""MultiPoint"",""coordinates"":[]}"
944_0,CA_000944,0.8654000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
945_0,CA_000945,0.8214,"{""type"":""MultiPoint"",""coordinates"":[]}"
946_0,CA_000946,0.8661000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
947_0,CA_000947,0.8347,"{""type"":""MultiPoint"",""coordinates"":[]}"
948_0,CA_000948,0.7913,"{""type"":""MultiPoint"",""coordinates"":[]}"
949_0,CA_000949,0.6345000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
950_0,CA_000950,0.8506,"{""type"":""MultiPoint"",""coordinates"":[]}"
951_0,CA_000951,0.6717000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
952_0,CA_000952,0.9047000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
953_0,CA_000953,0.8569,"{""type"":""MultiPoint"",""coordinates"":[]}"
1026_0,CA_001026,0.5927,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027_0,CA_001027,0.7871,"{""type"":""MultiPoint"",""coordinates"":[]}"
1028_0,CA_001028,0.8575,"{""type"":""MultiPoint"",""coordinates"":[]}"
1029_0,CA_001029,0.9411,"{""type"":""MultiPoint"",""coordinates"":[]}"
1030_0,CA_001030,0.9049,"{""type"":""MultiPoint"",""coordinates"":[]}"
1031_0,CA_001031,0.8893000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1032_0,CA_001032,0.8935000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1033_0,CA_001033,0.8834000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1034_0,CA_001034,0.8962,"{""type"":""MultiPoint"",""coordinates"":[]}"
1035_0,CA_001035,0.8457,"{""type"":""MultiPoint"",""coordinates"":[]}"
1036_0,CA_001036,0.875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1037_0,CA_001037,0.7851,"{""type"":""MultiPoint"",""coordinates"":[]}"
1038_0,CA_001038,0.8214,"{""type"":""MultiPoint"",""coordinates"":[]}"
1039_0,CA_001039,0.8667,"{""type"":""MultiPoint"",""coordinates"":[]}"
1040_0,CA_001040,0.8442000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1041_0,CA_001041,0.8073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1042_0,CA_001042,0.8436,"{""type"":""MultiPoint"",""coordinates"":[]}"
1043_0,CA_001043,0.7488,"{""type"":""MultiPoint"",""coordinates"":[]}"
1044_0,CA_001044,0.7306,"{""type"":""MultiPoint"",""coordinates"":[]}"
1045_0,CA_001045,0.8021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1046_0,CA_001046,0.7199,"{""type"":""MultiPoint"",""coordinates"":[]}"
1047_0,CA_001047,0.8409000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1048_0,CA_001048,0.8361000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1049_0,CA_001049,0.6683,"{""type"":""MultiPoint"",""coordinates"":[]}"
1050_0,CA_001050,0.8379000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1051_0,CA_001051,0.8477,"{""type"":""MultiPoint"",""coordinates"":[]}"
1052_0,CA_001052,0.7376,"{""type"":""MultiPoint"",""coordinates"":[]}"
1053_0,CA_001053,0.8676,"{""type"":""MultiPoint"",""coordinates"":[]}"
1054_0,CA_001054,0.8054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1055_0,CA_001055,0.7674000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1056_0,CA_001056,0.5027,"{""type"":""MultiPoint"",""coordinates"":[]}"
1057_0,CA_001057,0.7711,"{""type"":""MultiPoint"",""coordinates"":[]}"
1058_0,CA_001058,0.6726000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1059_0,CA_001059,0.8723000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1131_0,CA_001131,0.8341000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132_0,CA_001132,0.869,"{""type"":""MultiPoint"",""coordinates"":[]}"
1133_0,CA_001133,0.8662000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1134_0,CA_001134,0.9163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1135_0,CA_001135,0.8231,"{""type"":""MultiPoint"",""coordinates"":[]}"
1136_0,CA_001136,0.7985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1137_0,CA_001137,0.8754000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1138_0,CA_001138,0.8114,"{""type"":""MultiPoint"",""coordinates"":[]}"
