system:index,cell_id,dewpoint,precip,temp_max,temp_mean,wind_speed,.geo
299_0,CA_000299,284.7072531382243,7.781386273109092E-6,295.1556854248047,288.73937288920087,5.453431127530404,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,CA_000300,284.9236431121826,1.5086606134673275E-4,294.0873260498047,288.5785655975342,4.607789531414192,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,CA_000301,284.9236431121826,1.5086606134673275E-4,294.0873260498047,288.5785655975342,4.607789531414192,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,CA_000302,285.12855847676593,3.419045357873074E-4,293.8802947998047,288.4272797902425,3.26107122311746,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,CA_000303,284.8616313934326,2.3987814773818172E-4,292.2650604248047,288.03185335795087,4.234096002491839,"{""type"":""MultiPoint"",""coordinates"":[]}"
404_0,CA_000404,284.87391980489093,3.861188878317989E-5,296.2142791748047,289.33190218607587,5.267433590447566,"{""type"":""MultiPoint"",""coordinates"":[]}"
405_0,CA_000405,284.95595105489093,7.781386273109092E-6,297.4506072998047,289.6387055714925,3.9934678571014697,"{""type"":""MultiPoint"",""coordinates"":[]}"
406_0,CA_000406,285.1103293100993,2.2103562940856136E-4,295.8275604248047,289.0364106496175,3.041968698883302,"{""type"":""MultiPoint"",""coordinates"":[]}"
407_0,CA_000407,285.1103293100993,2.2103562940856136E-4,295.8275604248047,289.0364106496175,3.041968698883302,"{""type"":""MultiPoint"",""coordinates"":[]}"
408_0,CA_000408,285.1269308725993,3.277111797501675E-4,294.6752166748047,288.7199230194092,2.8250928081540665,"{""type"":""MultiPoint"",""coordinates"":[]}"
421_0,CA_000421,284.58314832051593,4.351138045421976E-7,296.9232635498047,291.85021273295087,4.669240693017775,"{""type"":""MultiPoint"",""coordinates"":[]}"
422_0,CA_000422,284.58314832051593,4.351138045421976E-7,296.9232635498047,291.85021273295087,4.669240693017775,"{""type"":""MultiPoint"",""coordinates"":[]}"
510_0,CA_000510,284.80433972676593,8.474290268623008E-6,298.7377166748047,290.7500336964925,3.75873159880914,"{""type"":""MultiPoint"",""coordinates"":[]}"
511_0,CA_000511,284.67445691426593,7.781386273109092E-6,299.4037322998047,290.73497835795087,3.0832951911474344,"{""type"":""MultiPoint"",""coordinates"":[]}"
512_0,CA_000512,284.9936300913493,1.4030113806029476E-4,297.4408416748047,289.73766390482587,2.460521979154541,"{""type"":""MultiPoint"",""coordinates"":[]}"
513_0,CA_000513,284.9936300913493,1.4030113806029476E-4,297.4408416748047,289.73766390482587,2.460521979154541,"{""type"":""MultiPoint"",""coordinates"":[]}"
514_0,CA_000514,285.0647563934326,2.6905462135573543E-4,296.3392791748047,289.37950960795087,2.0525450464961175,"{""type"":""MultiPoint"",""coordinates"":[]}"
515_0,CA_000515,284.8831157684326,1.8532872189780392E-4,294.6752166748047,288.8844738006592,2.381919684658919,"{""type"":""MultiPoint"",""coordinates"":[]}"
516_0,CA_000516,284.69740613301593,1.2720860530635036E-4,293.2474822998047,288.47203890482587,2.7260330780423145,"{""type"":""MultiPoint"",""coordinates"":[]}"
517_0,CA_000517,284.7599875132243,9.680464853545345E-5,293.0365447998047,288.47350374857587,2.5257070088517337,"{""type"":""MultiPoint"",""coordinates"":[]}"
518_0,CA_000518,284.7599875132243,9.680464853545345E-5,293.0365447998047,288.47350374857587,2.5257070088517337,"{""type"":""MultiPoint"",""coordinates"":[]}"
